Modelos,criterio_sel_CV,MSE_train,MSE_test
kmeans_4_XGBoost_,maior_media_com_dp,2.5545249588791554,15.942473040485826
kmeans_4_XGBoost_,maior_score_ruim,3.167293628380382,13.688358755253294
kmeans_4_XGBoost_,maior_media,3.7076247332531493,16.728147448073177
kmeans_2_randForest_,maior_media_com_dp,2.915169601913303,17.143878644790956
kmeans_2_randForest_,maior_score_ruim,2.874350965433924,15.719586869331117
kmeans_2_randForest_,maior_media,2.915169601913303,17.143878644790956
kmeans_4_randForest_,maior_media_com_dp,3.5251491490234916,18.199819115383228
kmeans_4_randForest_,maior_score_ruim,2.8014303478828393,17.107587279262404
kmeans_4_randForest_,maior_media,2.817145852338678,14.071607616199008
kmeans_3_XGBoost_,maior_media_com_dp,3.684100518691519,16.270339982157473
kmeans_3_XGBoost_,maior_score_ruim,3.0979911172237973,13.329964688682889
kmeans_3_XGBoost_,maior_media,3.684100518691519,16.270339982157473
kmeans_3_randForest_,maior_media_com_dp,2.9163401107467366,16.063258783359082
kmeans_3_randForest_,maior_score_ruim,2.9792225841575046,14.32185500103605
kmeans_3_randForest_,maior_media,2.9163401107467366,16.063258783359082
random_forest,maior_media_com_dp,2.5931334461116187,17.104060078240675
random_forest,maior_score_ruim,2.9006282762509072,15.801276389225995
random_forest,maior_media,2.5931334461116187,17.104060078240675
XGBoost,maior_media_com_dp,4.826502784122994,15.865830182994612
XGBoost,maior_score_ruim,3.2518875044922857,13.757039421033312
XGBoost,maior_media,4.826502784122994,15.865830182994612
kmeans_2_XGBoost_,maior_media_com_dp,2.298007842842157,16.111811262313367
kmeans_2_XGBoost_,maior_score_ruim,3.1117134359323635,13.567278199903132
kmeans_2_XGBoost_,maior_media,2.7757485687551258,13.727173981049962
