modelos,sem_transformacao,yeo_johnson,quantile,standard
decisionTree,0.6514925373134328,0.6514925373134328,0.6522388059701493,0.6514925373134328
randomForest,0.7276119402985075,0.7298507462686568,0.7298507462686568,0.7328358208955223
kNearestNeighbour,0.5798507462686567,0.6208955223880597,0.6223880597014926,0.6261194029850746
rbf_SVM,0.4716417910447761,0.5358208955223881,0.505223880597015,0.5305970149253731
poly3_SVM,0.3111940298507463,0.36268656716417913,0.3365671641791045,0.3753731343283582
